Food_Name,PC1,PC2,cluster
"Infant formula, Enfamil ProSobee, powder, made with tap water",-1.1602407362578095,0.002295647970802975,6
"Infant formula, Enfamil ProSobee, powder, made with bottled water",-1.1502536702476363,0.007709332798156276,6
"Infant formula, Enfamil ProSobee, powder, made with baby water",-1.1744139522506587,-0.011507377547763502,6
"Infant formula, Similac Isomil Soy, ready-to-feed",-1.1624469206402992,-0.013010949432087778,6
"Infant formula, Similac Isomil Soy, powder, made with tap water",-1.1480024044026527,0.0006825716436378782,6
"Infant formula, Similac Isomil Soy, powder, made with bottled water",-1.1361869301178968,0.007939375437013755,6
"Infant formula, Similac Isomil Soy, powder, made with baby water",-1.1624469206402992,-0.013010949432087778,6
"Infant formula, Similac for Diarrhea",-1.1875448939127822,-0.052394215029574906,6
"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",-1.1539703995298307,0.0007204270963079141,6
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",-1.1385101500263537,0.015439939076263422,6
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",-1.1285230840161804,0.02085362390361669,6
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",-1.1539703995298307,0.0007204270963079141,6
"Infant formula, store brand, soy",-1.1703553699387592,-0.013736456141482037,6
"Infant formula, Enfamil Nutramigen, ready-to-feed",-1.2476386748602346,-0.067300049445537,6
"Infant formula, Enfamil Nutramigen, powder, made with water",-1.2476386748602346,-0.067300049445537,6
"Infant formula, Enfamil Pregestimil, ready-to-feed",-1.0708129199001122,0.09668194431287334,6
"Infant formula, Enfamil Pregestimil, powder, made with water",-1.0708129199001122,0.09668194431287334,6
"Infant formula, amino acids",-1.2457247822784647,-0.06935594713022004,6
"Infant formula, low iron",-1.3074645769981226,-0.13518972608909435,6
"Milk, dry, not reconstituted",8.703294833057106,6.506870120523512,4
"Whey, sweet, dry",7.213662005024973,2.8209649105334282,4
"Cocoa powder, not reconstituted",9.060647395519727,9.53858260602639,3
"Chocolate beverage powder, dry mix, not reconstituted",1.154560400430996,2.372493928399439,0
"Chocolate beverage powder, light, dry mix, not reconstituted",11.503091184675277,5.383371116519311,4
"Milk, malted, dry mix, not reconstituted",12.283465973250122,10.122240880791423,3
"Strawberry beverage powder, dry mix, not reconstituted",-2.1785645424523854,-0.6485769399156351,6
"Cream, NS as to light, heavy, or half and half",-1.33420998703919,0.09925514417353871,6
"Cream, light",-1.2728837606212073,0.24050959206137645,6
"Cream, half and half",-1.33420998703919,0.09925514417353871,6
"Cream, half and half, flavored",-1.3525862860715088,0.08511199495032504,6
"Cream, half and half, fat free",-1.1757923895723796,-0.08474584851949156,6
"Cream, heavy",-1.03843501883589,0.9216489947856824,6
"Cream, whipped",-1.111034562295646,0.8312765832043224,6
"Coffee creamer, NFS",-2.045187746977328,-0.4060290940275587,6
"Coffee creamer, liquid",-2.045187746977328,-0.4060290940275587,6
"Coffee creamer, liquid, flavored",-1.7906178213952373,-0.12733590737219763,6
"Coffee creamer, liquid, fat free",-2.0293689891133924,-0.4239707199928305,6
"Coffee creamer, liquid, fat free, flavored",-2.104894805473448,-0.46860509194082967,6
"Coffee creamer, liquid, fat free, sugar free, flavored",-2.0293689891133924,-0.4239707199928305,6
"Coffee creamer, liquid, sugar free, flavored",-2.0293689891133924,-0.4239707199928305,6
"Coffee creamer, powder",-1.2571445498142582,0.09964677381511737,6
"Coffee creamer, powder, flavored",-1.8346189967683768,-0.19582844282143125,6
"Coffee creamer, powder, fat free",-1.350034571765931,-0.06981957928366993,6
"Coffee creamer,powder, sugar free, flavored",-1.2571445498142582,0.09964677381511737,6
"Coffee creamer, soy, liquid",-2.045187746977328,-0.4060290940275587,6
Whipped topping,-2.2378681471100204,-0.478449273570101,6
"Whipped topping, fat free",-1.7952580730154863,-0.3759199173539857,6
"Whipped topping, sugar free",-1.7952580730154863,-0.3759199173539857,6
"Sour cream, regular",-1.2238798105291866,0.2776237145002479,6
"Sour cream, light",-1.233577002688011,0.12625746168632454,6
"Sour cream, fat free",-1.298784434567558,-0.01948877982651993,6
"Sour cream, imitation",-1.9216621081323193,-0.29132883956403033,6
"Dip, NFS",-1.1488714342761552,0.10120015406881074,6
"Chipotle dip, regular",-1.3490313329400327,0.03907663690190253,6
"Chipotle dip, light",-1.5307964654905482,-0.19833359530502703,6
"Onion dip, regular",-1.3794965412877287,0.004346499561571747,6
"Onion dip, light",-1.5176494956984103,-0.1814436419610288,6
