Food_Name,PC1,PC2,cluster
"Toddler formula, Enfamil Enfagrow",-2.2414258194225467,-0.2825452563763087,1
"Toddler formula, PediaSure",-1.0911909638134607,0.1085851141755208,1
"Toddler formula, Nido Kinder",-2.336498505866175,-0.2759679589155661,1
"Toddler formula, store brand, beginning or next stage",-2.336498505866175,-0.2759679589155661,1
"Toddler formula, store brand, pediatric shake",-1.0911909638134607,0.1085851141755208,1
"Infant formula, Gerber, NFS",-2.490838491717871,-0.3462369790061287,1
"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",-2.5020704988232585,-0.35435230479768115,1
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",-2.4945861056710856,-0.3500041862872921,1
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",-2.4869671061689247,-0.3455847504604414,1
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",-2.5020704988232585,-0.35435230479768115,1
"Infant formula, Gerber Good Start Gentle, Stage 2",-2.5020704988232585,-0.35435230479768115,1
"Toddler formula, Gerber Good Start, Stage 3",-2.336498505866175,-0.2759679589155661,1
"Infant formula, premature, powder, made with water",-1.5600299290194177,-1.1670714610145643,1
"Infant formula, premature, ready-to-feed",-1.5600299290194177,-1.1670714610145643,1
"Infant formula, organic, powder, made with water",-2.4445896463460968,-0.40383240259224323,1
"Infant formula, organic, ready-to-feed",-2.4445896463460968,-0.40383240259224323,1
"Infant formula, store brand, advantage or tender, powder, made with tap water",-2.4328435905487207,-0.39560822241973764,1
"Infant formula, store brand, advantage or tender, powder, made with bottled water",-2.4291652450859638,-0.3950182924505972,1
"Infant formula, store brand, advantage or tender, powder, made with baby water",-2.4445896463460968,-0.40383240259224323,1
"Infant formula, store brand, gentle or sensitivity",-2.0925457252111737,-1.1050678249484656,1
"Infant formula, store brand, added rice",-2.133186602946554,-1.0770950179275713,1
"Infant formula, Enfamil ProSobee, ready-to-feed",-2.431599116499002,-0.3458815604822527,1
"Infant formula, Enfamil ProSobee, powder, made with tap water",-2.4208882040908484,-0.33801110621891406,1
"Infant formula, Enfamil ProSobee, powder, made with bottled water",-2.4136299821924676,-0.33393392844944636,1
"Infant formula, Enfamil ProSobee, powder, made with baby water",-2.431599116499002,-0.3458815604822527,1
"Infant formula, Similac Isomil Soy, ready-to-feed",-2.4228334524632613,-0.38166692787249873,1
"Infant formula, Similac Isomil Soy, powder, made with tap water",-2.411801531449308,-0.3737499178047538,1
"Infant formula, Similac Isomil Soy, powder, made with bottled water",-2.403147388557925,-0.3689767560687363,1
"Infant formula, Similac Isomil Soy, powder, made with baby water",-2.4228334524632613,-0.38166692787249873,1
"Infant formula, Similac for Diarrhea",-2.416554666635826,-0.33034462679859167,1
"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",-2.4513690333471225,-0.30242849071619865,1
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",-2.4396229775497464,-0.29420431054369317,1
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",-2.432364755651366,-0.29012713277422547,1
